stage,drug,target
early,digoxin,ATP1A1|ABCB1|RORC|SLCO1B3
early,cinobufagin,ATP1A1
early,digitoxin,ATP1A1
early,digitoxigenin,ATP1A1
early,quiflapon,ALOX5AP|ALOX5
early,beclomethasone-dipropionate,NR3C1|CYP3A5|ADGRG3
early,bufalin,ATP1A1
early,bufalin,ATP1A1
early,brinzolamide,CA2|CA7|CA1|CYP2B6|CYP2C8|CA12|CA14|CA4|CA5A
early,strophanthidin,ATP1A1
early,mocetinostat,HDAC1|HDAC2|HDAC3|HDAC11
early,dinoprostone,PTGER2|PTGER1|PTGER3|PTGER4|CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGDR2|PTGFR|TBXA2R
early,reparixin,CXCR1|CXCR2
early,fluoxetine,SLC6A4|CYP2C19|ANO1|HTR2B
early,papaverine,PDE10A|PDE4B|PDE5A
early,hydrocortisone-acetate,NR3C1|NR3C2
early,nilotinib,ABL1|KIT|BCR|CYP2B6|CYP2C8|DDR1|DDR2|PDGFRA
early,mitoxantrone,TOP2A|PIM1
early,albendazole,CYP1A2|CYP2J2|TUBA1A|TUBB|TUBB4B
early,dinaciclib,CDK1|CDK2|CDK9|CDK5|CCNT1
early,doxycycline,MMP8|MMP1
early,refametinib,MAP2K1|MAP2K2
early,asenapine,DRD2|HTR2A|DRD1|HRH1|HTR1A|HTR1B|ADRA1A|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD3|DRD4|HRH2|HTR1D|HTR1E|HTR2B|HTR2C|HTR5A|HTR6|HTR7
early,meclofenamic-acid,PTGS1|PTGS2|ALOX5|CNR1|KCNQ2|KCNQ3
early,atorvastatin,HMGCR|DPP4|CYP3A5|FASLG|AHR
early,gemcitabine,RRM1|CMPK1|RRM2|TYMS
early,phenolphthalein,UGT1A9
early,bosutinib,ABL1|SRC|BCR|LYN|CAMK2G|HCK|CAMK1D|CDK2|FRK|FYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|STK10|STK24|STK4|TNK2|TXK
early,clozapine,DRD4|DRD2|DRD3|HTR2A|ADRA1A|ADRA1B|CHRM1|DRD1|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2C|HTR6|HTR7|CYP2C19|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM2|CHRM3|CHRM4|CHRM5|DRD5|HTR1F|HTR2B|HTR3A|HTR5A
early,raloxifene,ESR1|ESR2|ACVRL1|ENG
early,pralatrexate,DHFR|SLC19A1|TYMS
early,bisbenzimide,TOP1
early,mitoxantrone,TOP2A|PIM1
early,acenocoumarol,VKORC1
early,everolimus,MTOR|CYP3A5|FKBP1A
early,lapatinib,EGFR|ERBB2|CYP3A5
early,digitoxigenin,ATP1A1
early,nortriptyline,KCNJ10|SLC6A2|SLC6A4|CYP2C19|PIK3CD|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|PGRMC1|SIGMAR1
early,hydrocortisone-hemisuccinate,NR3C1
early,pasireotide,SSTR1|SSTR2|SSTR3|SSTR5|GH1
early,purvalanol-a,CDK1|CDK2|CDK4|CDK5|CCND1|CCNE1|CSNK1G3|RPS6KA1|SRC
early,trimipramine,SLC6A2|SLC6A4|SLC6A3|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR1D|HTR2A|HTR2C|HTR3A
early,propentofylline,ACHE|PDE1A
early,sonidegib,SMO
early,foretinib,KDR|MET|AXL|FLT3|KIT|MST1R|TEK|FLT1|FLT4
early,ryuvidine,CDK4|CDK2
early,levomequitazine,HRH1|HRH4|PDE4A
early,epirubicin,TOP2A|CHD1
early,losartan,AGTR1
early,zacopride,HTR3A|HTR4|HTR3B|HTR5A
early,dinaciclib,CDK1|CDK2|CDK9|CDK5|CCNT1
early,genz-644282,TOP1
early,bufalin,ATP1A1
early,ryuvidine,CDK4|CDK2
early,voxtalisib,MTOR|PIK3CA
early,romidepsin,HDAC1|HDAC2|CYP2B6|CYP2C19|CYP3A5|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,azilsartan-medoxomil,AGTR2|INS|AGTR1
early,digoxin,ATP1A1|ABCB1|RORC|SLCO1B3
early,everolimus,MTOR|CYP3A5|FKBP1A
early,bosutinib,ABL1|SRC|BCR|LYN|CAMK2G|HCK|CAMK1D|CDK2|FRK|FYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|STK10|STK24|STK4|TNK2|TXK
early,mepivacaine,SCN9A|SCN10A
early,cabozantinib,KDR|MET|FLT3|KIT|RET|TEK|CYP2C19
early,orphenadrine,CYP2B6|GRIN1|GRIN2D|GRIN3A|GRIN3B|HRH1|SCN10A|SLC6A2
early,bisindolylmaleimide-ix,SIRT1|LRRK2|SIRT2|AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1
early,idarubicin,TOP2A
early,cinobufagin,ATP1A1
early,troglitazone,PPARG|AKR1B1|CCL2|CYP3A4|INS|ACSL4|ESRRA|ESRRG|SERPINE1|SLC29A1|TRPM3
early,auranofin,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1
early,niguldipine,ADRA1A|CACNA1C
