name,target,norm_cs
mitoxantrone,TOP2A|PIM1,-1.51
sirolimus,MTOR|FKBP1A|CCR5|FGF2,-1.52
sonidegib,SMO,-1.59
saquinavir,CYP3A5|CYP3A4,-1.54
mitoxantrone,TOP2A|PIM1,-1.57
progesterone,PGR|CYP17A1|NR3C2|CYP2C19|CATSPER1|CATSPER2|CATSPER3|CATSPER4|ESR1|OPRK1|TRPC5,-1.5
dinaciclib,CDK1|CDK2|CDK9|CDK5|CCNT1,-1.5
withaferin-a,IKBKB|NAMPT,-1.5
mitoxantrone,TOP2A|PIM1,-1.5
importazole,KPNB1,-1.51
camptothecin,TOP1|HIF1A,-1.51
alisertib,AURKA,-1.62
withaferin-a,IKBKB|NAMPT,-1.51
curcumin,PTGS1|PTGS2|CCND1|DNMT1|G6PC|MAPT|APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|XDH,-1.53
niclosamide,STAT3,-1.54
disulfiram,ALDH2|ALDH1A2|ALDH5A1|ALDH7A1|CYP2E1|DNMT1|TRPA1|DBH,-1.64
auranofin,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,-1.58
auranofin,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,-1.68
calcitriol,VDR|CYP3A5,-1.57
calcitriol,VDR|CYP3A5,-1.58
terazosin,ADRA1D|ADRA1A|ADRA1B|KCNH2|KCNH6|KCNH7,-1.58
auranofin,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,-1.59
devazepide,CCKAR,-1.59
sertindole,DRD2|HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR6|KCNH2,-1.59
doxorubicin,TOP2A,-1.57
beclomethasone-dipropionate,NR3C1|CYP3A5|ADGRG3,-1.61
losartan,AGTR1,-1.63
salermide,SIRT1|SIRT2,-1.66
meclofenamic-acid,PTGS1|PTGS2|ALOX5|CNR1|KCNQ2|KCNQ3,-1.67
quizartinib,FLT3|CSF1R|KIT|RET|PDGFRA|PDGFRB,-1.54
ceritinib,ALK|FLT3|IGF1R|INSR|TSSK1B,-1.53
nilotinib,ABL1|KIT|BCR|CYP2B6|CYP2C8|DDR1|DDR2|PDGFRA,-1.67
vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9,-1.69
azelastine,HRH1|CYP2C19,-1.8
pasireotide,SSTR1|SSTR2|SSTR3|SSTR5|GH1,-1.73
mepivacaine,SCN9A|SCN10A,-1.75
ryuvidine,CDK4|CDK2,-1.54
importazole,KPNB1,-1.93
niclosamide,STAT3,-1.54
nilotinib,ABL1|KIT|BCR|CYP2B6|CYP2C8|DDR1|DDR2|PDGFRA,-1.67
camptothecin,TOP1|HIF1A,-1.51
terazosin,ADRA1D|ADRA1A|ADRA1B|KCNH2|KCNH6|KCNH7,-1.58
curcumin,PTGS1|PTGS2|CCND1|DNMT1|G6PC|MAPT|APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|XDH,-1.53
importazole,KPNB1,-1.51
progesterone,PGR|CYP17A1|NR3C2|CYP2C19|CATSPER1|CATSPER2|CATSPER3|CATSPER4|ESR1|OPRK1|TRPC5,-1.5
calcitriol,VDR|CYP3A5,-1.57
losartan,AGTR1,-1.63
calcitriol,VDR|CYP3A5,-1.58
devazepide,CCKAR,-1.59
withaferin-a,IKBKB|NAMPT,-1.5
mitoxantrone,TOP2A|PIM1,-1.5
mitoxantrone,TOP2A|PIM1,-1.51
withaferin-a,IKBKB|NAMPT,-1.51
sirolimus,MTOR|FKBP1A|CCR5|FGF2,-1.52
salermide,SIRT1|SIRT2,-1.66
ceritinib,ALK|FLT3|IGF1R|INSR|TSSK1B,-1.53
saquinavir,CYP3A5|CYP3A4,-1.54
ryuvidine,CDK4|CDK2,-1.54
quizartinib,FLT3|CSF1R|KIT|RET|PDGFRA|PDGFRB,-1.54
mitoxantrone,TOP2A|PIM1,-1.57
doxorubicin,TOP2A,-1.57
auranofin,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,-1.58
dinaciclib,CDK1|CDK2|CDK9|CDK5|CCNT1,-1.5
sonidegib,SMO,-1.59
sertindole,DRD2|HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR6|KCNH2,-1.59
auranofin,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,-1.59
alisertib,AURKA,-1.62
beclomethasone-dipropionate,NR3C1|CYP3A5|ADGRG3,-1.61
disulfiram,ALDH2|ALDH1A2|ALDH5A1|ALDH7A1|CYP2E1|DNMT1|TRPA1|DBH,-1.64
pasireotide,SSTR1|SSTR2|SSTR3|SSTR5|GH1,-1.73
importazole,KPNB1,-1.93
mepivacaine,SCN9A|SCN10A,-1.75
auranofin,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,-1.68
meclofenamic-acid,PTGS1|PTGS2|ALOX5|CNR1|KCNQ2|KCNQ3,-1.67
vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9,-1.69
azelastine,HRH1|CYP2C19,-1.8
